To Kill a Mockingbird
Harry Potter Series
1984
The Little Prince
The Great Gatsby
The Catcher in the Rye
The Lord of the Rings Trilogy
Jane Eyre
The Book Thief
The Chronicles of Narnia
Romeo and Juliet
The Kite Runner
The Giver
Charlotte's Web
Little Women
Of Mice and Men
The Hobbit
Fahrenheit 451
The Picture of Dorian Gray
Les Miserables
Brave New World
the Alchemist
The Secret Garden
Memoirs of a Geisha
The Outsiders
The Color Purple
The Grapes of Wrath
Where the Wild Things Are
One Hundred Years of Solitude
A Thousand Splendid Suns
Ender's Game
Anne of Green Gables Series
A Tale of Two Cities
Life of Pi
The Count of Monte Cristo
One Flew Over the Cuckoo's Nest
Anna Karenina
Flowers for Algernon
Frankenstein
The Scarlet Letter
The Old Man and the Sea 
The Handmaid's Tale
The Time Traveler's Wife
War and Peace
A Clockwork Orange
All Quiet on the Western Front
Don Quixote
Heart of Darkness
Great Expectations
The Da Vinci Code
A Wrinkle in Time
Matilda
Where the Red Fern Grows
East of Eden
The Lorax
A Song of Ice and Fire Series
Alice in Wonderland
Peter Pan
The Lovely Bones
The Bell Jar
The Call of the Wild
The Girl with the Dragon Tattoo
And Then There Were None
The Canterbury Tales
The Glass Castle
Robinson Crusoe
Walden
The Trial
The Things They Carried
Room 
Murder on the Orient Express
Their Eyes Were Watching God
Schindler's List
A Little Princess
The Green Mile 
A Farewell to Arms
Holes
Madame Bovary
Sophie's Choice 
Tess of the D'Urbervilles
The Tao of Pooh
Paradise Lost
The Jungle
How to Win Friends and Influence People
Zen and the Art of Motorcylce Maintenance
Treasure Island
Othello
Beowulf
Dead Poets Society
Inferno
Jurrasic Park
It
The Glass Menagerie
Breakfast at Tiffany's 
The Diving Bell and the Butterfly
The Jungle Books
The Art of Happiness
The War of the Worlds
Marley and Me 
A Time to Kill
